name,artist_1,artist_2,uri,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,cluster
Kisses Back,Anthony Keyrouz,,spotify:track:6uzwiQa5FkiiHLyt7ENYc6,222630,0.788,0.63,4,-8.397,0,0.0331,0.255,2.08e-06,0.0828,0.755,123.984,2
Lovefool,twocolors,,spotify:track:51Of5p3lKZeOg6itfs4og4,190488,0.677,0.766,6,-6.896,1,0.0568,0.0219,6.81e-06,0.129,0.198,123.062,0
Thinking out Loud - Alex Adair Remix,Ed Sheeran,Alex Adair,spotify:track:1cWepLwVVDgyqxso6G4TQU,182185,0.828,0.745,2,-6.717,1,0.152,0.21,0.00113,0.087,0.517,117.008,0
Baila Morena - New Spanish Version,Zucchero,,spotify:track:0M2YkvoDWKgEvLaCmdH3Gv,246373,0.694,0.787,5,-5.369,1,0.0413,0.000906,0.00409,0.11,0.613,119.779,2
Miracle In The Middle Of My Heart,BCX,,spotify:track:144AU6jf1J8fl0wLaQw4e8,174261,0.757,0.627,10,-6.441,1,0.0284,0.42,0.000868,0.117,0.212,115.017,0
New Shoes,Paolo Nutini,,spotify:track:265Anh9hGoozFigjUVLUeD,203653,0.748,0.735,8,-8.692,1,0.0903,0.47,1.09e-05,0.0851,0.854,150.04,2
Put Your Records On,Aslove,Mia Wray,spotify:track:5LF5Sa3tM70JO7yerAUJWu,154733,0.597,0.577,9,-9.063,1,0.328,0.688,0.0,0.0642,0.367,115.844,3
Hotel Walls,Smith & Thell,,spotify:track:7MUUzpdrSa8UUEpyS1dGUq,206293,0.525,0.687,11,-9.029,1,0.0448,0.0108,1.84e-06,0.0885,0.307,141.84,5
Seve - Radio Edit,Tez Cadey,,spotify:track:6UqRGwjwYL0stXbaodTxwo,210853,0.74,0.831,5,-7.321,1,0.0456,0.444,0.00304,0.0769,0.448,121.034,0
Eso Que Tú Me Das,Jarabe De Palo,,spotify:track:40tFJtuES1da2fg0OurUdI,214554,0.778,0.804,0,-5.699,1,0.0286,0.144,9.5e-05,0.0676,0.836,130.004,2
Hemicraneal,Estopa,,spotify:track:21zsAfOLMyhPcJp7XVAGR6,250173,0.816,0.74,7,-5.84,1,0.0332,0.316,0.0025,0.109,0.645,132.019,2
Woke up in Bangkok,Deepend,Younotus,spotify:track:3x63A5hq4vldKE8hWIi1tE,169106,0.776,0.692,7,-6.426,1,0.039,0.204,0.00114,0.165,0.38,120.0,0
The Bright Side,Stay Homas,Oques Grasses,spotify:track:4FT39hcPLSrP02YDBqOGLe,173372,0.777,0.885,11,-6.114,1,0.0988,0.362,0.00183,0.054,0.922,98.956,2
Beautiful Lie,Benjamin Roustaing,,spotify:track:3yppmP5ZKNZU1ZgaOU0xmQ,203482,0.851,0.625,6,-9.494,0,0.0536,0.374,0.00163,0.0976,0.824,129.998,2
Something I Need,OneRepublic,,spotify:track:5aIZ2jtxZ4o4GHQXTybkIa,240080,0.683,0.591,7,-6.955,1,0.0314,0.134,0.0,0.235,0.628,98.982,2
You & Me,James TW,,spotify:track:1bQhZOoXYqjXs7u7rFXo0h,231653,0.714,0.686,11,-6.333,1,0.0445,0.203,7.76e-06,0.102,0.828,127.015,2
I'll Be Back (feat. ROOKIES),Sam Feldt,ROOKIES,spotify:track:13IpuP7UrDLJo7LaJIf68Z,157810,0.719,0.598,9,-7.327,1,0.0326,0.283,4.42e-06,0.133,0.503,120.085,0
Kind Of Love,Rat City,Isak Heim,spotify:track:0Tv9DumSM7K9v4EME1XdsC,202424,0.679,0.825,0,-3.759,0,0.044,0.0665,0.0,0.128,0.466,119.946,0
Alane,Robin Schulz,Wes,spotify:track:2u6Jm2klS4yvAlbSHlxUwI,175016,0.581,0.799,3,-6.66,1,0.164,0.0419,9.43e-06,0.11,0.662,124.002,2
Tieduprightnow,Parcels,,spotify:track:66tkDkPsznE5zIHNt4QkXB,249957,0.863,0.533,5,-7.986,0,0.0484,0.291,0.00126,0.0794,0.738,102.025,2
Volveré a Empezar,Stay Homas,Nil Moliner,spotify:track:2KDNePHNaahkf8okcATp51,148000,0.776,0.566,5,-7.5,1,0.0563,0.0518,0.0,0.0867,0.884,127.925,2
Similares (feat. Sinsinati),Efecto Pasillo,Sinsinati,spotify:track:74CBYERIN0oOdZ6x9h2L3R,228911,0.626,0.8,1,-5.399,1,0.0681,0.0907,0.0,0.0946,0.876,99.978,2
Estamos Mal (feat. El Kanka),Stay Homas,El Kanka,spotify:track:6ModUqOT7D4zXmIdtedGZT,132383,0.951,0.676,4,-7.621,0,0.0497,0.266,7.59e-06,0.16,0.962,120.015,2
Bailemos,Dani Fernández,,spotify:track:5EnaxC9amhXY55ezw87SL8,210469,0.649,0.555,1,-4.655,1,0.0292,0.0616,3.45e-06,0.0874,0.607,128.009,0
Darling Darling Twerk (Twerk For Me),Hiko,,spotify:track:0WCWVrBZRHdEDM289G3iCe,111193,0.669,0.442,0,-9.866,1,0.199,0.359,0.00649,0.208,0.51,218.105,3
Stay Homa,Stay Homas,Sr. Wilson,spotify:track:3GbyRmZVxkVpCGMs8qcqXz,136573,0.835,0.614,9,-6.927,1,0.331,0.597,0.0,0.246,0.962,79.92,2
In The End,Stay Homas,,spotify:track:4PrYq1x0pv5WSMCiy6rp9o,141493,0.763,0.719,5,-5.862,1,0.0712,0.0865,0.0,0.0935,0.85,146.977,2
Cuba (Tiene Sabor) [feat. Omara Portuondo],BUNT.,Omara Portuondo,spotify:track:5QhDqbqLk759MNSjegdlzw,168018,0.735,0.883,9,-2.304,0,0.2,0.228,4.69e-05,0.367,0.701,128.073,2
Lovefool - Nicky Romero Remix,twocolors,Nicky Romero,spotify:track:7iydGgbqWUwYQNKiUXaoWq,209500,0.609,0.798,3,-3.759,0,0.0342,0.0142,0.000573,0.155,0.305,126.137,0
Paradise (feat. Dermot Kennedy),MEDUZA,Dermot Kennedy,spotify:track:6ft4hAq6yde8jPZY2i5zLr,167903,0.632,0.595,8,-7.644,0,0.0401,0.0689,0.0,0.209,0.435,124.114,0
Kids (feat. MKLA),KSHMR,Stefy De Cicco,spotify:track:3rgTS3933lMWoPiN6CW4qY,184687,0.744,0.866,9,-4.834,1,0.106,0.0107,0.0537,0.528,0.302,128.027,0
Goosebumps,HVME,,spotify:track:20McUFi8KCIVdNDLrkTDuZ,163208,0.767,0.659,1,-7.429,1,0.0444,0.325,0.0,0.13,0.439,124.946,0
Mesmerize,Duck Sauce,A-Trak,spotify:track:3QrsKBdtwQcA3gZ8PYKYmb,239583,0.701,0.983,4,-3.517,1,0.0552,0.0399,0.223,0.0866,0.756,126.02,2
All We Got (feat. KIDDO) - Ofenbach Remix,Robin Schulz,KIDDO,spotify:track:2rUsJXt4NeeDiIU6sBvrxo,129814,0.803,0.796,6,-5.077,0,0.0343,0.0522,2.69e-05,0.25,0.549,114.95,0
Devotion - 2020 Remix,Bingo Players,Felguk,spotify:track:039VxfSo5FErqE65169VZL,152131,0.701,0.802,2,-4.771,1,0.0451,0.00059,0.819,0.332,0.365,124.025,6
Dreams (feat. Lanie Gardner),David Guetta,MORTEN,spotify:track:5ovAmYzYLeEmOX6P3bmlzV,204103,0.61,0.896,9,-4.471,0,0.0384,0.0904,0.000157,0.0943,0.0723,128.056,0
Castles In The Sky,i_o,,spotify:track:4xZax8srPgsXV2mpMerqEk,223280,0.68,0.95,8,-4.595,1,0.182,0.00203,0.538,0.552,0.14,134.982,6
Energy,Bru-C,Example,spotify:track:2xyG0785QU6hEQRDmKA29U,230007,0.773,0.92,10,-4.415,0,0.114,0.0299,0.0,0.674,0.958,129.029,2
Physical - Claptone Remix,Dua Lipa,Claptone,spotify:track:4KKaV1zUcpDecobqLjwIkB,189120,0.722,0.928,5,-5.97,0,0.0341,0.00029,0.9,0.43,0.875,124.988,6
Oxygen - Dario Rodriguez Remix,Winona Oak,Robin Schulz,spotify:track:7tks4SpHKvcPiMb6cql9Er,179500,0.788,0.707,7,-4.878,1,0.13,0.0061,4.48e-05,0.139,0.31,126.026,0
Good Dope,Future Class,Makloud,spotify:track:342IN7R7WLFvxwxkJ5vkaj,177586,0.809,0.792,2,-6.557,1,0.0948,0.102,0.000277,0.312,0.852,124.043,2
Deep End - SIDEPIECE Remix,John Summit,SIDEPIECE,spotify:track:7JdiXX87BugXUDhQ89GEc8,196667,0.763,0.665,11,-9.063,0,0.0807,0.122,0.0112,0.476,0.422,126.025,0
Not Dancing,Mr. Belt & Wezol,,spotify:track:2ipTMqLLogZOwB3VXafqTR,163109,0.845,0.709,11,-5.588,0,0.0786,0.0203,1.31e-05,0.288,0.892,124.904,2
Nobody,NOTD,Catello,spotify:track:7GiozRoMk95aFl1WbrDdjX,143953,0.818,0.773,8,-5.714,0,0.0579,0.0166,7.64e-06,0.377,0.878,122.016,2
Secrets,Regard,RAYE,spotify:track:66W1rVTnEv86dIkFhoiElg,176767,0.848,0.768,6,-5.386,0,0.0373,0.0412,0.000785,0.195,0.777,118.961,2
Somebody's Watching Me,Chico Rose,71 Digits,spotify:track:3vrm4dNThrhQ0BArrLIUOV,176640,0.712,0.857,1,-4.922,0,0.052,0.0855,9.98e-05,0.0723,0.207,124.963,0
On My Mind,Diplo,SIDEPIECE,spotify:track:5lXY6PTuWXOludKy4zDQwM,189268,0.771,0.731,7,-6.574,1,0.0409,0.00165,0.633,0.217,0.635,123.026,6
Seven Nation Army,DMNDS,Strange Fruits Music,spotify:track:6Htqsoq5u7Z4a8hqWfMRXY,133000,0.784,0.802,4,-3.673,0,0.0666,0.214,0.023,0.445,0.522,124.941,0
Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,Riton,Nightcrawlers,spotify:track:4cG7HUWYHBV6R6tHn1gxrl,169153,0.824,0.862,2,-3.424,1,0.126,0.0076,0.000132,0.303,0.801,122.98,2
Sad Songs (feat. L Devine),Route 94,L Devine,spotify:track:3JsmrruMp8AWcbEZ4342JY,191613,0.7,0.816,7,-5.439,0,0.0361,0.091,0.119,0.0729,0.632,123.986,2
Heartbreaker,The Stickmen,,spotify:track:07PSGQ8vwLkuvxkWX6QVxY,150765,0.773,0.726,5,-5.241,0,0.0855,0.0818,4.02e-06,0.116,0.523,123.071,0
Enough Of You,Tujamo,,spotify:track:0mDINHqydpdNSyPKPCxB7z,146693,0.806,0.744,9,-6.454,0,0.131,0.074,1.05e-06,0.142,0.248,124.062,0
Stand By You,DubVision,Pontifexx,spotify:track:6DrbW5cFbwb1JHcdAXO8tD,165833,0.609,0.834,10,-5.588,0,0.0722,0.00924,0.000243,0.307,0.351,126.077,0
Bad,Don Diablo,Zak Abel,spotify:track:1T4U8Q2DRfs6OUg8DEsRZf,169911,0.791,0.738,0,-5.197,1,0.0732,0.406,0.00826,0.159,0.666,123.927,2
Ride It,Regard,,spotify:track:2tnVG71enUj33Ic2nFN6kZ,157606,0.88,0.751,7,-4.258,0,0.0874,0.177,6.43e-05,0.106,0.884,117.948,2
Post Malone (feat. RANI) - GATTÜSO Remix,Sam Feldt,RANI,spotify:track:6b1RNvAcJjQH73eZO4BLAB,207619,0.542,0.903,4,-2.419,0,0.0434,0.0335,4.83e-06,0.111,0.367,127.936,0
Creep - mint Singles,R3HAB,GATTÜSO,spotify:track:5LRxdeykOfvKb1aWGrrGyo,161190,0.766,0.611,11,-9.251,1,0.0542,0.112,0.000606,0.187,0.128,126.0,0
Destination Calabria - Radio Edit,Alex Gaudino,Crystal Waters,spotify:track:5TmFTHZp7HjBXjjsFvCY6h,223112,0.627,0.954,2,-4.804,1,0.0425,0.0015,0.000814,0.292,0.312,128.016,0
I Was Made,VINAI,Le Pedre,spotify:track:0ieEZjHQO5eq9Uad7opItK,155399,0.609,0.85,1,-3.471,1,0.0268,0.0823,0.0,0.0999,0.314,128.006,0
Chance,Codeko,,spotify:track:4oVp2A9Ud4hV27Kr5bByCQ,206002,0.682,0.868,6,-6.3,1,0.109,0.0017,0.335,0.374,0.543,124.024,6
Lights Out,DJ Zinc,Notion,spotify:track:0ftR6PhIBwtcDc7Kp7dqT1,178385,0.625,0.903,0,-4.912,1,0.193,0.137,0.0,0.0927,0.664,129.925,2
Bruk It Down (feat. TxTHEWAY),KSHMR,Sak Noel,spotify:track:04J03yanQCmSuigan5Y0cM,136982,0.63,0.897,6,-3.807,0,0.206,0.0483,6.77e-06,0.0944,0.625,108.312,2
Show Me Love,MOTi,,spotify:track:3qwDbGKZzA7CMobf35EwsW,156190,0.551,0.774,4,-5.724,0,0.0509,0.0808,3.68e-06,0.622,0.351,126.042,0
Another Life (feat. Alida),Lucas & Steve,Alida,spotify:track:0NWVFwJxCMjBdTOCePlQdl,212468,0.541,0.653,5,-5.954,1,0.04,0.00531,0.0,0.126,0.264,123.854,5
Thong Song,Buzz Low,,spotify:track:09JBbmL7Pmm1Zsus7BXHBG,171787,0.898,0.952,9,-5.337,1,0.188,0.0334,0.000555,0.296,0.959,123.988,2
Dare Me,NERVO,Plastik Funk,spotify:track:77BDJDKKWm11KXQh0Sv4Jf,182500,0.817,0.776,6,-4.976,1,0.303,0.0453,0.0,0.158,0.718,124.03,2
Nothing Really Matters,Tiësto,Becky Hill,spotify:track:1horDZRb64nwbtDXymIzLw,157478,0.731,0.848,5,-4.254,0,0.0423,0.00495,1.81e-06,0.281,0.688,123.022,2
Front 2 Back,Bart B More,,spotify:track:0uv1qAL1ID4BBf1aOEriwC,155794,0.782,0.803,4,-5.741,0,0.0613,0.14,0.22,0.163,0.411,126.012,0
Details (feat. Boy Matthews),Oliver Heldens,Boy Matthews,spotify:track:5fYN8kPYyAWWJUBX57vmXb,156913,0.751,0.714,2,-6.502,0,0.0379,0.0259,0.000504,0.0508,0.529,120.007,0
Dancing in My Bed,Nuschi,,spotify:track:1VyH25fMkEmPURby4KbX5F,192000,0.644,0.65,11,-8.107,0,0.0432,0.0028,0.126,0.119,0.342,119.96,0
What You Want,Blinkie,,spotify:track:1EHgCTp5LuW5Rlt7IruwCf,240057,0.694,0.715,1,-9.325,1,0.0788,0.000802,0.553,0.175,0.509,125.008,6
Bad Boy (feat. bbno$) - Low Steppa Remix,Yung Bae,Low Steppa,spotify:track:0iorfThvp0sgwOB1qcZDk3,197419,0.827,0.786,6,-6.969,0,0.0931,0.032,9.16e-05,0.0795,0.745,124.008,2
Promise,Illyus & Barrientos,,spotify:track:15CfptpFnwDrhkWt8JPyfN,158500,0.642,0.904,1,-5.127,0,0.0501,0.000449,0.818,0.0141,0.69,123.987,6
High Like This,Yves V,FR!ES,spotify:track:38XcmJDV2pjjVcCvdpMpA2,169426,0.817,0.826,6,-4.541,1,0.0486,0.0614,0.103,0.115,0.386,122.084,0
Wonder,Shaun Dean,,spotify:track:6r3u99JfzeSrmnyHX5IB4A,267068,0.763,0.857,6,-5.534,0,0.0978,0.00177,0.442,0.0644,0.874,132.972,2
Lose CTRL (feat. Sash Sings),PBH & JACK,Sash Sings,spotify:track:1dK5t2UGFfEAY7vBDb75Gz,180968,0.705,0.744,8,-5.871,1,0.0417,0.017,0.309,0.283,0.726,124.002,2
Infinity - Dubdogz & Bhaskar Edit,Dubdogz,Bhaskar,spotify:track:4ekDggjElGJX9kNSOtnbVf,196000,0.723,0.57,9,-8.589,0,0.0429,0.00412,0.00183,0.0862,0.575,123.979,0
Together,SIDEPIECE,,spotify:track:3ydFRJUABULlXklU1M24TV,186341,0.727,0.749,2,-5.811,0,0.0327,0.184,0.00666,0.105,0.466,125.056,0
Chance To Dance,Kim Kaey,,spotify:track:6T9cSQMRmd1sJC6UJLYywZ,189798,0.774,0.911,11,-5.377,0,0.0849,0.0381,0.0136,0.122,0.477,124.012,0
ACIIID - Kryder x Benny Benassi Remix,Moguai,Benny Benassi,spotify:track:0F5DJA5gUkR9YSPIP1lCl2,172913,0.593,0.96,10,-4.896,0,0.07,0.0431,0.766,0.245,0.448,126.998,6
Round & Round,Yves V,,spotify:track:2cE7I6BIi2GaVi5y0YYd5F,165120,0.688,0.852,11,-4.73,0,0.0332,0.464,1.49e-06,0.147,0.519,124.969,0
I Just Wanna Dance,Rat City,Isak Heim,spotify:track:1E6eBDvEvVMz3PIUIkWs1y,177632,0.66,0.874,1,-2.854,0,0.0493,0.059,6.59e-06,0.0735,0.726,122.048,2
Alors On Danse - DubDogz Remix,Stromae,Dubdogz,spotify:track:19eIZmuXlBmLTha1lPHef7,168577,0.789,0.752,1,-4.274,0,0.164,0.027,2.69e-05,0.613,0.739,122.98,2
Techno Prank,Dubdogz,,spotify:track:4t8ilMPQ7E7S6pB4i4Kf2I,203407,0.741,0.807,2,-6.562,1,0.0451,0.0563,0.747,0.351,0.118,124.06,6
Sing It,Pickle,,spotify:track:3g5uTRDCdcUgylKH4wmkTW,184286,0.718,0.922,1,-3.276,0,0.0484,0.000665,0.605,0.118,0.13,126.054,6
Zip Zap,DJ Q,Robbie Rue,spotify:track:6toCdsVO7FKI7Ggedfe1Ed,261500,0.936,0.732,6,-5.476,0,0.136,0.143,0.133,0.55,0.924,124.99,2
In The Club,Thomas Newson,,spotify:track:4wAB0TsHw6Ggv1axTDEZfk,154642,0.686,0.807,2,-7.744,1,0.0437,0.0017,0.0343,0.186,0.454,124.96,0
Dancing Shoes,Fedde Le Grand,Josh Cumbee,spotify:track:6n9o7RoWEcX9LOrggAq2Sc,214314,0.796,0.92,1,-5.0,1,0.139,0.0227,0.00356,0.0627,0.784,127.995,2
Juliet & Romeo,Martin Solveig,Roy Woods,spotify:track:1CRy08G60mS5jvhB27xMpS,204514,0.712,0.664,11,-8.026,1,0.0345,0.0416,0.000104,0.0668,0.781,122.014,2
Rain On Me - Purple Disco Machine Remix - Edit,Lady Gaga,Ariana Grande,spotify:track:0dj5O3Nc6ONKWNd8mErvND,238049,0.764,0.772,1,-7.061,0,0.0739,0.00643,0.00661,0.125,0.902,123.016,2
Pump It Up,Endor,,spotify:track:0GiwV6v3AgJfdu59tj719Y,150635,0.899,0.894,1,-7.255,1,0.222,0.203,9.95e-05,0.0606,0.654,129.047,2
Hold On,Jess Bays,,spotify:track:458tveI8AbGOI9mBlrzmkL,205177,0.779,0.692,8,-10.321,1,0.098,0.0888,0.249,0.295,0.392,124.988,0
Renegade,Steff da Campo,SMACK,spotify:track:3pXqrcwP59B4gGMAkn66Wg,142862,0.713,0.74,9,-5.185,1,0.0692,0.0691,0.0,0.361,0.419,126.024,0
Miss You,Tungevaag,Sick Individuals,spotify:track:4odMGVNm2t07wwtzxKUlBc,160800,0.56,0.887,9,-3.524,1,0.0596,0.0482,0.0,0.0958,0.397,125.0,0
Dream On Me - Roger Sanchez Remix,Ella Henderson,Roger Sanchez,spotify:track:1ml0dtE1KtsXacLt7NJkze,204251,0.629,0.781,8,-5.975,1,0.0481,0.0288,0.0,0.269,0.71,123.977,2
Party Never Ends,Alok,Quintino,spotify:track:35F2tdWosmulYdcmsXpQ7x,148750,0.835,0.809,2,-6.364,1,0.0569,0.0128,0.0907,0.0956,0.11,125.989,0
Tokyo,Dwin,Kush Kush,spotify:track:4obMuJXFa9APNiFtlQHFBh,132891,0.73,0.91,7,-5.509,1,0.191,0.109,0.144,0.0509,0.3,128.053,0
Like This,Subshock & Evangelos,,spotify:track:1vV4T6tvTn4FIrwdvom3rf,163854,0.816,0.917,11,-3.274,0,0.147,0.00237,0.0225,0.0796,0.497,126.05,0
Party Starter,Laidback Luke,Mark Bale,spotify:track:0sJ2TnHlej7YZfqMnYj9QW,131586,0.685,0.977,1,-2.215,1,0.0832,0.0282,0.516,0.306,0.651,126.129,6
Get Out My Head,Shane Codd,,spotify:track:055Mme9ReKK99jRFA5UJ55,204933,0.693,0.913,0,-3.035,1,0.0298,0.0542,6.87e-05,0.231,0.795,123.989,2
Body - Dzeko Remix,Loud Luxury,Brando,spotify:track:4RgDgaohkG08f630ZT9QKc,165714,0.653,0.946,5,-3.757,0,0.0556,0.00812,0.000207,0.126,0.653,125.966,2
Mambo - Leandro Da Silva Remix,Nikki Vianna,Leandro Da Silva,spotify:track:5vyY8SBue4y6MkXa7NsRv5,203557,0.598,0.984,10,-3.504,0,0.0445,0.0109,0.159,0.967,0.621,127.985,2
Catania,Södermalm,,spotify:track:5t8ya2Qx7Xc6bG53piXMYY,220645,0.784,0.951,7,-7.92,1,0.052,0.00403,0.852,0.0324,0.808,123.99,6
Freak - Joe Stone 2K18 Edit,R3HAB,Quintino,spotify:track:2xbRwcylUnX881qaqf5ZZJ,177143,0.666,0.855,11,-5.318,0,0.236,0.222,0.0,0.502,0.769,125.943,2
NOPUS,Eric Prydz,,spotify:track:02dPa4nXABwnFzjZosKxsk,200211,0.494,0.938,3,-4.828,1,0.0402,0.00117,0.952,0.118,0.17,127.004,6
Party Time,Tiësto,SWACQ,spotify:track:0uif0Lvh62KQ8GIFY594M7,166560,0.635,0.878,0,-4.753,1,0.07,0.0103,0.538,0.338,0.414,125.002,6
"Love, Dance And Feel",Sunnery James & Ryan Marciano,Leon Benesty,spotify:track:6mDFoD64XOInpQJOtd9N3r,236458,0.729,0.808,0,-9.683,1,0.0927,0.108,0.887,0.386,0.362,125.009,6
Pump Up The Jam - NightFunk Radio Edit,Technotronic,NightFunk,spotify:track:0uMDkt7tY0EoRg0o0IzYbu,213023,0.853,0.652,11,-8.877,1,0.0935,0.00503,0.0227,0.0904,0.828,129.001,2
Nightlight,ILLENIUM,Annika Wells,spotify:track:06kxa3al7bUqRRo5nAFduZ,222400,0.494,0.651,11,-4.127,0,0.0384,0.0819,0.0,0.104,0.162,149.979,5
Chop It Up,BIJOU,SPLASHWOE,spotify:track:0KJAVizRhvcLNd2f8QxhdI,215238,0.691,0.661,2,-3.263,1,0.0348,0.00222,0.0258,0.207,0.635,126.021,2
Hold Up,Late Replies,,spotify:track:5KGn7C4GflN0EFMNqDmUY9,228571,0.805,0.904,8,-6.717,0,0.0507,0.00785,0.9,0.0396,0.501,126.0,6
Tarantino (feat. STARX),Steve Aoki,Timmy Trumpet,spotify:track:18fwprn0rr9AZdIFxbAvXw,199000,0.523,0.931,1,-3.512,0,0.099,0.00107,0.399,0.341,0.244,170.0,6
Right Time,Hayden James,Icona Pop,spotify:track:7lWs5MulBdRI3ZAxChj5Pt,170490,0.529,0.871,9,-6.792,0,0.047,0.0475,0.00392,0.0948,0.234,123.959,5
Baianá,Bakermat,,spotify:track:7MUazB4rGIqFFIkjT95rCO,180843,0.564,0.723,2,-6.983,0,0.0702,0.000741,0.672,0.543,0.466,121.97,6
Survivor,Jack Back,,spotify:track:4pD9SWYlUlzj47sUkWtAxp,163237,0.715,0.87,3,-3.303,1,0.0494,0.00975,0.0927,0.0829,0.305,125.008,0
Deep Inside 2020,Matroda,,spotify:track:5kHrTMIFqmZkuCkovsxRUs,186542,0.8,0.902,1,-3.518,0,0.0648,0.00377,0.265,0.123,0.23,124.002,0
Fur,Endor,,spotify:track:37qV9lhTq40KXUoPLXfGZ6,162667,0.809,0.926,9,-8.778,1,0.139,0.021,0.152,0.0775,0.467,127.024,0
Follow (with Jeremih) [Dillon Francis Remix],Kito,ZHU,spotify:track:2eomAcNgNQTogi2Y4apBKh,186240,0.74,0.726,5,-7.234,1,0.0322,0.00933,0.00168,0.0443,0.403,125.021,0
Flip Reset,Kaskade,WILL K,spotify:track:2mUnxSunvs3Clvtpq3FtGo,187662,0.78,0.916,1,-4.773,1,0.0699,0.00127,0.193,0.0611,0.426,126.006,0
What U Waiting Fo,MOTi,BODYWORX,spotify:track:7CjekpYN6CFpRgFmLXAiec,157143,0.676,0.885,11,-4.053,0,0.0639,0.0233,0.0115,0.321,0.554,126.033,0
Faith,Moguai,Luciana,spotify:track:2PJCyHkwbtkcdmtIlbjVRa,206134,0.559,0.669,2,-5.111,1,0.203,0.0251,0.00303,0.302,0.206,121.232,5
Body Pop,Disco Fries,,spotify:track:75bs4ULNvZCzTfAa3ZuD8V,160030,0.646,0.923,9,-4.542,0,0.0575,0.00555,0.0451,0.454,0.861,126.052,2
Oye Mami,Mike Candys,,spotify:track:3YWYtU9jDCUfOOeo7iprbJ,140971,0.754,0.921,5,-2.044,0,0.0445,0.00475,0.338,0.61,0.752,125.989,2
Ballie (feat. Kah-Lo) - Destructo Remix,Idris Elba,Kah-Lo,spotify:track:24mAiaFiKP55r6IITNB2As,266263,0.85,0.838,2,-3.833,1,0.114,0.000682,0.0455,0.0348,0.726,124.026,2
Everybody Dance (feat. Nile Rodgers),Cedric Gervais,Franklin,spotify:track:2KP2670rcQA5XRZyQcVhDK,168290,0.628,0.928,0,-3.698,0,0.0621,0.00862,0.713,0.0651,0.68,123.953,6
